gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
F;32;China;Widow;Master;Looking for a job;NSEP;10000;Milan;1;522.97;496.82;526.89;540.14;;;;;;;;240.51;;682.00;
M;25;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;542.04;514.93;543.11;557.03;;;;;;;;209.52;;680.00;
F;25;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;542.04;514.93;543.11;557.03;;;;;;;;209.52;;680.00;
M;32;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;453.71;431.03;461.59;476.75;;;;;;;;187.47;;565.00;
F;32;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;441.56;419.49;449.85;465.66;;;;;;;;187.47;;565.00;
M;25;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;393.72;374.04;403.57;421.33;;;;;;;;187.47;;565.00;
F;25;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;757.21;719.36;665.26;677.03;;;;;;;;222.98;;739.00;
M;32;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;574.80;546.07;568.56;583.53;;;;;;;;194.59;;674.00;
F;32;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;574.80;546.07;568.56;583.53;;;;;;;;194.59;;674.00;
M;25;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;791.97;752.36;687.82;699.08;;;;;;;;254.60;;682.00;
F;25;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;791.97;752.36;687.82;699.08;;;;;;;;251.32;;682.00;
M;32;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;656.80;623.96;605.64;626.58;;;;;;;;237.42;;565.00;
F;32;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;656.80;623.96;605.64;626.58;;;;;;;;237.42;;565.00;
M;25;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;577.85;548.96;569.98;585.95;;;;;;;;251.32;;682.00;
F;25;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;577.85;548.96;569.98;585.95;;;;;;;;251.32;;682.00;
M;32;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;530.13;503.63;533.01;546.70;;;;;;;;237.42;;565.00;
F;32;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;530.13;503.63;533.01;546.70;;;;;;;;237.42;;565.00;
M;25;Milan;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;480.01;456.01;486.97;500.84;;;;;;;;207.47;;661.00;
F;25;Milan;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;480.01;456.01;486.97;500.84;;;;;;;;207.47;;661.00;
M;32;Milan;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;434.08;412.39;442.67;458.78;;;;;;;;185.26;;550.00;
F;32;Milan;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;422.38;401.26;431.42;447.94;;;;;;;;185.26;;550.00;
M;25;Naples;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;801.58;761.51;694.64;705.09;;;;;;;;220.11;;722.00;
F;25;Naples;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;801.58;761.51;694.64;705.09;;;;;;;;220.11;;722.00;
M;32;Naples;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;563.74;535.56;561.33;574.63;;;;;;;;192.09;;658.00;
F;32;Naples;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;563.74;535.56;561.33;574.63;;;;;;;;192.09;;658.00;
M;25;Morocco;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;842.09;799.98;722.91;730.52;;;;;;;;251.32;;669.00;
F;25;Morocco;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;842.09;799.98;722.91;730.52;;;;;;;;251.32;;669.00;
M;32;Morocco;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;707.69;672.29;632.07;650.47;;;;;;;;237.42;;552.00;
F;32;Morocco;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;707.69;672.29;632.07;650.47;;;;;;;;237.42;;552.00;
M;25;China;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;604.89;574.64;581.92;605.50;;;;;;;;251.32;;669.00;
F;25;China;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;604.89;574.64;581.92;605.50;;;;;;;;251.32;;669.00;
M;32;China;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;565.91;537.61;563.13;576.38;;;;;;;;237.42;;552.00;
F;32;China;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;565.91;537.61;563.13;576.38;;;;;;;;237.42;;552.00;
M;25;Milan;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;533.64;506.95;535.99;549.88;;;;;;;;207.47;;744.00;
F;25;Milan;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;533.64;506.95;535.99;549.88;;;;;;;;207.47;;744.00;
M;32;Milan;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;458.75;435.81;466.46;481.35;;;;;;;;185.26;;680.00;
F;32;Milan;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;452.06;429.46;459.98;475.24;;;;;;;;185.26;;680.00;
M;25;Naples;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;900.18;855.16;762.33;768.94;;;;;;;;220.11;;804.00;
F;25;Naples;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;900.18;855.16;762.33;768.94;;;;;;;;220.11;;804.00;
M;32;Naples;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;600.28;570.28;579.97;600.07;;;;;;;;192.09;;732.00;
F;32;Naples;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;600.28;570.28;579.97;603.42;;;;;;;;192.09;;732.00;
M;25;Morocco;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;909.09;863.62;767.32;774.73;;;;;;;;251.32;;746.00;
F;25;Morocco;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;909.09;863.62;767.32;774.73;;;;;;;;251.32;;746.00;
M;32;Morocco;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;601.52;571.44;580.50;603.98;;;;;;;;237.42;;682.00;
F;32;Morocco;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;601.52;571.44;580.50;603.98;;;;;;;;237.42;;682.00;
M;25;China;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;605.37;575.10;582.12;605.71;;;;;;;;251.32;;746.00;
F;25;China;Widow;Without a qualification;Looking for a job;NSEP;10000;Milan;1;605.37;575.10;582.12;605.71;;;;;;;;251.32;;746.00;
F;25;Milan;Married;Master;Employee;NSEP;10000;Milan;1;434.22;412.52;442.81;458.90;;;;;;;;207.47;;707.00;
M;32;Milan;Married;Master;Employee;NSEP;10000;Milan;1;348.18;330.78;358.91;383.90;;;;;;;;185.26;;646.00;
F;32;Milan;Married;Master;Employee;OLED;10000;Naples;4;343.69;326.51;354.47;384.77;;;;;;;;185.26;;646.00;
M;25;Naples;Married;Master;Employee;NSEP;10000;Milan;1;512.11;486.49;517.58;530.23;;;;;;;;220.11;;766.00;
F;25;Naples;Married;Master;Employee;NSEP;10000;Milan;1;512.11;486.49;517.58;530.23;;;;;;;;220.11;;766.00;
M;32;Naples;Married;Master;Employee;NSEP;10000;Milan;1;641.33;609.26;597.54;620.74;;;;;;;;238.19;;766.00;
F;32;Naples;Married;Master;Employee;NSEP;10000;Milan;1;381.46;362.39;391.57;409.93;;;;;;;;192.09;;697.00;
M;25;Morocco;Married;Master;Employee;NSEP;10000;Milan;1;598.91;568.97;579.39;602.70;;;;;;;;251.32;;710.00;
F;25;Morocco;Married;Master;Employee;NSEP;10000;Milan;1;598.91;568.97;579.39;602.70;;;;;;;;251.32;;710.00;
M;32;Morocco;Married;Master;Employee;NSEP;10000;Milan;1;491.83;467.24;498.33;511.68;;;;;;;;237.42;;650.00;
F;32;Morocco;Married;Master;Employee;NSEP;10000;Milan;1;491.83;467.24;498.33;511.68;;;;;;;;237.42;;650.00;
M;25;China;Married;Master;Employee;NSEP;10000;Milan;1;462.32;439.21;469.90;484.61;;;;;;;;251.32;;710.00;
F;25;China;Married;Master;Employee;NSEP;10000;Milan;1;462.32;439.21;469.90;484.61;;;;;;;;251.32;;710.00;
M;32;China;Married;Master;Employee;NSEP;10000;Milan;1;442.66;420.54;450.92;466.67;;;;;;;;237.42;;650.00;
F;32;China;Married;Master;Employee;NSEP;10000;Milan;1;442.66;420.54;450.92;466.67;;;;;;;;237.42;;650.00;
M;25;Milan;Single;Master;Employee;NSEP;10000;Milan;1;435.05;413.31;443.60;459.66;;;;;;;;207.47;;688.00;
F;25;Milan;Single;Master;Employee;NSEP;10000;Milan;1;435.05;413.31;443.60;459.66;;;;;;;;207.47;;688.00;
M;32;Milan;Single;Master;Employee;NSEP;10000;Milan;1;356.45;338.63;367.05;386.50;;;;;;;;185.26;;628.00;
F;32;Milan;Single;Master;Employee;NSEP;10000;Milan;1;352.12;334.51;362.78;383.04;;;;;;;;185.26;;628.00;
M;25;Naples;Single;Master;Employee;NSEP;10000;Milan;1;534.09;507.40;536.38;550.29;;;;;;;;220.11;;748.00;
F;25;Naples;Single;Master;Employee;NSEP;10000;Milan;1;534.09;507.40;536.38;550.29;;;;;;;;220.11;;748.00;
M;32;Naples;Single;Master;Employee;NSEP;10000;Milan;1;415.68;394.90;424.95;441.72;;;;;;;;192.09;;680.00;
F;32;Naples;Single;Master;Employee;NSEP;10000;Milan;1;415.68;394.90;424.95;441.72;;;;;;;;192.09;;680.00;
M;25;Morocco;Single;Master;Employee;NSEP;10000;Milan;1;620.78;589.74;588.34;612.41;;;;;;;;251.32;;695.00;
F;25;Morocco;Single;Master;Employee;NSEP;10000;Milan;1;620.78;589.74;588.34;612.41;;;;;;;;251.32;;695.00;
M;32;Morocco;Single;Master;Employee;NSEP;10000;Milan;1;466.15;442.85;473.61;488.10;;;;;;;;237.42;;635.00;
F;25;China;Single;Master;Employee;NSEP;10000;Milan;1;484.19;459.98;490.99;504.66;;;;;;;;251.32;;695.00;
M;32;China;Single;Master;Employee;NSEP;10000;Milan;1;441.47;419.40;449.76;442.84;;;;;;;;237.42;;635.00;
F;32;China;Single;Master;Employee;NSEP;10000;Milan;1;416.88;396.04;449.76;465.57;;;;;;;;237.42;;635.00;
M;25;Milan;Widow;Master;Employee;NSEP;10000;Milan;1;447.31;424.94;455.39;470.90;;;;;;;;207.47;;772.00;
