gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
F;32;Milan;Married;Master;Employee;OLED;10000;Naples;18;3390.72;;3208.34;;3500.26;;;2520.57;;2298.30;2249.63;;2998.00;;
F;25;Milan;Married;Master;Employee;OLED;30000;Naples;18;3390.72;;3208.34;;3500.26;;;2968.34;;2687.49;2630.26;;2998.00;;
F;32;Milan;Married;Master;Employee;OLED;30000;Naples;18;3390.72;;3208.34;;3500.26;;;2520.57;;2298.30;2249.63;;2998.00;;
F;25;Milan;Married;Master;Employee;NSEP;10000;Naples;18;2334.46;;2125.01;;;;;2678.95;;2435.97;2384.26;;2998.00;;
F;32;Milan;Married;Master;Employee;NSEP;10000;Naples;18;1899.93;;1530.63;;;;;2275.14;;2085.01;2041.03;;2998.00;;
F;25;Milan;Married;Master;Employee;NSEP;30000;Naples;18;3390.72;;3208.34;;;;;2678.95;;2435.97;2384.26;;2998.00;;
F;32;Milan;Married;Master;Employee;NSEP;30000;Naples;18;3390.72;;3208.34;;;;;2275.14;;2085.01;2041.03;;2998.00;;
F;32;Milan;Married;Master;Employee;OLED;10000;Naples;4;3390.72;;3208.34;;1848.87;1789.99;;;;;;775.14;2998.00;;
F;25;Milan;Married;Master;Employee;NSEP;10000;Milan;9;988.11;;790.86;808.85;;;;;;;;488.75;1596.00;;
F;32;Milan;Married;Master;Employee;NSEP;10000;Milan;9;1248.88;;953.68;968.56;;;;;;;;552.14;1673.00;;
F;25;Milan;Married;Master;Employee;NSEP;30000;Milan;9;2294.31;;2067.45;;;;;;;;;488.75;1660.00;;
F;32;Milan;Married;Master;Employee;NSEP;30000;Milan;9;2207.48;;1945.28;;;;;;;;;552.14;1745.00;;
F;25;Milan;Married;Master;Employee;OLED;10000;Milan;9;3390.72;;3208.34;;2671.07;2585.38;;;;;;687.78;2998.00;;
F;25;Milan;Married;Master;Employee;OLED;10000;Milan;9;3390.72;;3208.34;;;;;;;;;835.12;2998.00;;
F;32;Milan;Married;Master;Employee;OLED;10000;Milan;9;3390.72;;3208.34;;;;;;;;;785.49;2998.00;;
F;25;Milan;Married;Master;Employee;OLED;30000;Milan;9;3208.34;;3208.34;;;;;;;;;1343.67;2998.00;;
F;32;Milan;Married;Master;Employee;OLED;30000;Milan;9;3208.34;;3208.34;;;;;;;;;1278.69;2790.00;;
F;32;Milan;Married;Master;Employee;OLED;10000;Milan;18;3390.72;;3208.34;;3500.26;;;3222.05;;2908.02;2845.93;;2998.00;;
F;25;Milan;Married;Master;Employee;OLED;10000;Milan;18;3390.72;;;;;;;3268.19;;2948.12;2885.11;;2998.00;;
